PATIENT1	PATIENT2	PATIENT3	PATIENT4	PATIENT5	PATIENT6	PATIENT7	PATIENT8	PATIENT9	PATIENT10	PATIENT11	PATIENT12	PATIENT13	PATIENT14	PATIENT15	PATIENT16	PATIENT17	PATIENT18	PATIENT19	PATIENT20	PATIENT21	PATIENT22	PATIENT23	PATIENT24	PATIENT25	PATIENT26	PATIENT27	PATIENT28	PATIENT29	PATIENT30
HNF4G	2.8	6.8	6.7	10.3	3.3	4	3.7	51.7	9.7	1.2	25.8	2.8	16.3	21.8	8.7	17.9	14.2	7.5	5.8	9.5	10.8	19.7	11.5	8.1	8.7	4.8	11.7	6.8	8.1	6.3
TYW1	163.7	157.8	160.8	122.1	144.7	133.1	141.8	184.8	136.8	171.4	179.9	152	116	102.4	258	127.6	118.4	144.5	124.7	136.3	210	215.1	119.1	135.4	170.4	209.3	148.5	112.7	160.8	156.4
PRSS22	179.7	132.8	203.3	310.2	143.5	185.9	156.1	172.7	291.5	155	133	200.9	200.8	142	241.9	254.3	234.6	125.4	210.4	245.4	267	262.2	355.2	184.2	335	142.2	298.1	163.6	140.3	250.3
DUSP10	55.1	68.55	42.6	93.1	66.55	53.9	42.6	44.7	57.3	36.05	74.35	65.2	66.05	35.5	55.05	85.5	55.85	52	54.7	80.7	67.25	47.8	71.65	74.55	114.95	65.15	53.55	53.65	57.8	99.45
UROD	79.1	57.5	140.5	125.9	125.1	139	112.3	201.5	83.7	225.7	125.4	74.8	221.1	126	147.2	141.2	161.6	112.5	94.9	120.4	102.8	141.2	126.3	138.1	148	183.1	165.6	117.1	251.5	120
MACROD1	36.2	83.3	98.8	19.2	112.8	143.2	94	299	114.5	176.1	116.3	129.6	144.7	98.9	96.1	109.2	24.7	110.2	67.7	88.9	61.3	118	70.1	86.8	146.9	162.3	64	138.1	134.6	115
FARS2	75.9	100.9	110.9	78.4	112.6	52.7	132.1	106	69.4	91	122.6	73.1	66.3	99.8	82.8	104.4	124	116.1	76.9	127.6	92.3	35.3	55.3	107.4	29.8	102.1	47.2	87.5	78.7	14
PPP1R26	62.6	74.6	89.8	72.9	81.4	102.5	94.6	84.3	15.7	92.6	78.1	121.2	158.8	172.7	137.9	22.1	114	74.7	17.6	93	108.3	159.8	39.2	76.6	155	30.3	129.2	83.5	60.3	110.8
GFM1	46.1	50.2	6.4	22.7	17.3	37.1	7.3	7.3	6.6	31.7	23.8	18.3	3.4	46.1	6.1	13.5	6.6	12	36.1	13	20.9	5.4	14	3.3	37	8.6	0.9	31.7	14.9	5.9
ATP8B1	127.6	151.1	272.8	132.2	449.3	1042	177	173.8	122	167.2	488.2	69.9	545.7	95.8	215.6	135.5	63.9	466.7	156.7	581.5	83.7	79.8	120	75.9	187.9	435.4	121.5	393.8	135.8	84.1
PEPD	122	149.7	147.8	139.8	162.3	234.1	171.6	22.4	181.2	120.5	131	75	14.3	183.4	164.2	155.4	128.9	188.9	143	143.6	40.7	188.5	279.6	225.1	70.6	152.7	122.8	240.3	170.9	170.2
RIOK3	239.75	168.15	166.6	140.65	212.35	145.55	152.9	96.4	208.5	196.45	171.75	177.7	63.65	164.55	160.15	108.1	142.45	216.6	282.4	232.3	132.1	55.4	101.4	181.7	153.6	162.05	146.75	154.75	142.7	111.1
RPSA	2688.2	4252.8	6491.4	4369.3	3663.9	3014.4	9394.8	7852.7	3670.1	5772.2	3745.3	5180.6	3396.8	5337.8	3832.6	4235.7	4841.5	3918.7	5904.9	3116	2744	4503.5	3805.4	5873	4020.8	3772.1	6084.9	4244.9	7946.3	5130.7
BTBD1	210.7	304.4	261.3	252.3	365	357.5	491.8	365.1	289.1	374.3	300.8	341.9	244.4	291.5	340.5	345.2	268.9	407.2	369.4	319.2	319.7	130.2	174.4	191	349	151.8	366.4	420.2	555.1	349.1
GPR32	52.7	14.7	19.9	71.6	19.6	30.1	36	29.6	6.2	21.5	19.8	1.9	64.6	23.1	32.5	52.8	28.7	24	5.2	12.7	46.1	28.7	33.7	5.3	57.7	25.6	58.9	20.7	3	24.4
ASRGL1	98.2	118.6	151.9	137.4	151.3	47	132.9	26.2	117.1	70	91.9	12.9	102.5	75.5	182	194.4	185.1	181.5	41.2	76.1	116.8	104.6	205.1	116.1	170.6	16.7	133.8	108.8	18.8	86
CRK	109.9	119.9	106.3	120.2	79.7	109.5	73.7	88.4	118.7	74.7	123.6	128.2	127	53.6	80.1	61.1	101.1	78.9	116.3	93.6	98.1	89.3	147.6	113.6	37.1	85.4	72.5	64.7	109	75.7
MTFR1	45.95	64.8	51.2	35.95	65.45	65	84.75	38.1	93.1	76.75	60.85	56.25	42.8	61.2	40.6	48.1	55.5	66.3	60.8	61.3	54.75	28.65	62	56.45	41.5	51.1	28.45	57.1	54.7	37.4
LOC100996758	35.4	6.5	53.2	14.2	5.3	22.2	35.5	123.2	75.1	10.2	38.4	29	17.1	64.2	50.3	15.3	13.4	18.9	7.5	25	40	18.8	11.9	43.3	16.6	26.8	30.1	13.9	37.9	65.4
PNMA2	30.7	7.7	8.1	33.85	16.3	24.35	5.8	42.5	7.25	8	46.15	26.85	36.7	26.65	63.25	9.05	37.4	5.7	33.95	19.2	8.75	25.6	12.2	14.6	23.25	24	3.5	26.15	32.3	29.25
STK17B	22.1	26.7	35.05	31.25	20.3	43.7	25	45.5	10.7	24.75	22.9	12.6	49.75	29.25	32.2	29.5	11.1	34.95	66.45	34.6	15.65	8.3	25.3	3.1	17.3	15.95	4.8	21.75	20.35	7.6
CALML5	14.6	5.2	43.2	29	6.2	6.9	4.4	94.4	4.1	10.3	13.8	9.9	14.1	45.1	36.6	43.5	10.7	18.3	5	9.6	34.8	67.7	18.5	11.8	6	10.4	2.3	5.7	30.2	11.5
ITCH	70.8	24.6	23	37.8	21.9	32.4	20	61	40.6	51.9	39.9	47	13.1	50.9	66.9	84.7	55.1	27	43.6	41.2	32.4	10.9	113.7	83.4	34.6	12.4	31.3	40.6	43.5	15.5
HLA-DQB1	1106.85	206.2	137.95	161.6	236.4	174.75	191.1	282.85	294.8	163.1	308.55	177.35	204.25	143.45	357.6	135.5	257.4	159.95	321.3	249.25	139.2	186.75	304.25	116	62.25	440.95	32.7	180.35	194.65	256.85
CUL4B	45.45	72.6	41.75	25.4	58.35	53.4	34.9	56.1	42.9	29.3	54.85	49.1	24.65	32.6	45.6	119.6	46.2	36.55	44.35	52.9	49.6	56.05	36.75	79.1	23.25	56.95	42.5	38.15	40.6	45.5
HERC5	101.7	84.4	93.2	43.7	59.5	36.7	13	67.4	5.5	36.2	102	63	218.4	79	8.3	45.5	86.7	69.1	236.2	64.8	26.9	74.7	64.9	42.6	89	108.4	4.2	44.3	105.5	46
THBS4	36	45.7	90.6	13.3	50.7	54.9	78.9	54.4	106.4	67.4	71.7	34.6	73	79.1	93.2	5.6	89.2	54.6	42.9	57	10.9	62.1	91.3	52.9	30.5	53.3	43.9	64.1	89.6	101
SOX10	15.7	23.9	12.85	17.35	9.55	15.95	16.8	18	13.15	32.85	11.25	12.65	13.25	19.35	12.4	21.5	16.55	10.45	24.9	19	15.25	27.2	20.2	15.85	16.45	13	12.95	11.65	6.5	12.05
CHST11	39.5	41	33.1	78.2	22.8	26.4	19.9	7.4	30.2	13.9	30	41.3	87.2	124.2	31.4	5.8	31.7	25.4	30.1	6.9	40.5	22.4	117.2	83.7	54.8	66.4	50.7	30.5	6.2	28.2
CYFIP2	96.05	59.5	72.5	72.45	87.75	77.95	95.45	144.05	85.8	105.05	118.45	122.2	109.15	57.75	77.2	90.4	184.95	31.15	91.55	67.3	62.25	100.2	130.45	155.2	52.15	138.6	62.3	161.55	100.1	115.2
POGK	79.3	111.8	109.1	110.7	77.2	82.2	51.6	3.7	46.4	24.8	89.9	70.4	35.4	51.3	64	14.7	123.3	57.2	111.4	70.2	54.4	88.2	30.4	45.2	75.1	158.5	92.7	118.1	49.8	93.6
FAM45A	187.1	292	281.8	153.1	332	194.3	367.5	148	216.1	173.1	286.5	240.9	128.5	206.2	195.2	128.6	120.7	339.5	268.1	249.6	176.7	208.8	178.3	218.3	199.7	249	184.7	402.4	204.5	199.7
HOXA6	72	63.4	29.9	120.9	18.1	51.8	39.4	49.7	40.5	76.7	28.5	36.2	4.9	27.4	39.6	7.6	48.9	42	63.6	28.5	46.7	57.7	52	50.5	78.9	7.2	78.5	22	7.2	44.1
